Pattern_ID,RoughPOS_N-Gram,RPOSN_Freq,DetailedPOS_N-Gram,DPOSN_Freq,Comparison_Replacement_Matrix,POS_N-Gram
700001,NN.* CC.* VB.* CC.* DT.* NN.* CC.*,,,,,NN.* CC.* VB.* CC.* DT.* NN.* CC.*
700002,VB.* CC.* DT.* NN.* CC.* NN.* CC.*,,,,,VB.* CC.* DT.* NN.* CC.* NN.* CC.*
700003,CC.* CC.* PR.* LM RB.* RB.* PR.*,,,,,CC.* CC.* PR.* LM RB.* RB.* PR.*
700004,VB.* PR.* VB.* CC.* DT.* NN.* CC.*,,,,,VB.* PR.* VB.* CC.* DT.* NN.* CC.*
700005,PR.* VB.* CC.* DT.* NN.* CC.* NN.*,,,,,PR.* VB.* CC.* DT.* NN.* CC.* NN.*
700006,CC.* DT.* NN.* CC.* NN.* CC.* NN.*,,,,,CC.* DT.* NN.* CC.* NN.* CC.* NN.*
700007,DT.* NN.* CC.* NN.* CC.* NN.* CC.*,,,,,DT.* NN.* CC.* NN.* CC.* NN.* CC.*
700008,NN.* CC.* NN.* CC.* NN.* CC.* VB.*,,,,,NN.* CC.* NN.* CC.* NN.* CC.* VB.*
700009,CC.* NN.* CC.* NN.* CC.* VB.* NN.*_PM.*,,,,,CC.* NN.* CC.* NN.* CC.* VB.* NN.*_PM.*
700010,CC.* DT.* NN.* CC.* DT.* NN.* NN.*_PM.*,,,,,CC.* DT.* NN.* CC.* DT.* NN.* NN.*_PM.*
700011,CC.* NN.* RB.* RB.* VB.* DT.* DT.*,,,,,CC.* NN.* RB.* RB.* VB.* DT.* DT.*
700012,NN.* RB.* RB.* VB.* DT.* DT.* NN.*,,,,,NN.* RB.* RB.* VB.* DT.* DT.* NN.*
700013,RB.* RB.* VB.* DT.* DT.* NN.* PM.*,,,,,RB.* RB.* VB.* DT.* DT.* NN.* PM.*
700014,NN.* PM.* NN.* CC.* DT.* NN.* CC.*,,,,,NN.* PM.* NN.* CC.* DT.* NN.* CC.*
700015,PM.* NN.* CC.* DT.* NN.* CC.* DT.*,,,,,PM.* NN.* CC.* DT.* NN.* CC.* DT.*
700016,NN.* CC.* DT.* NN.* CC.* DT.* NN.*,,,,,NN.* CC.* DT.* NN.* CC.* DT.* NN.*
700017,VB.* PR.* PR.* NN.* NN.* PM.* NN.*,,,,,VB.* PR.* PR.* NN.* NN.* PM.* NN.*
